condition,replicate,method,level,parameter,n,rmse,bias,pearson,spearman,ceiling_rate,interval_coverage,true,probability_positive,mean,median,ci_low,ci_high
negative,0,hierarchical,participant,alpha,111.0,0.1171901839018957,0.0171073626872615,0.5290109454124524,0.5366532116532117,,0.8108108108108109,,,,,,
negative,0,MLE_theta10,participant,alpha,111.0,0.2517601709728874,0.0658514221172732,0.3713873710399602,0.4466169389729756,,,,,,,,
negative,0,hierarchical,participant,kappa,111.0,0.163934605906011,-0.0405945301558527,0.7015527233276251,0.6133731133731133,,0.918918918918919,,,,,,
negative,0,MLE_theta10,participant,kappa,111.0,0.2522973440874328,0.0487856527166551,0.611328563023083,0.597972972972973,,,,,,,,
negative,0,hierarchical,participant,theta,111.0,0.6534952714266273,0.1238420421709013,0.5602233446585656,0.5962004212004212,0.0,0.927927927927928,,,,,,
negative,0,MLE_theta10,participant,theta,111.0,2.5689440794335248,0.9261353011947724,0.4688049174812606,0.5041856921965239,0.072072072072072,,,,,,,
negative,0,hierarchical,participant,friend_value_probability_effect,111.0,0.0937613590579979,-0.0119319657909583,0.6689277706475882,0.6282730782730783,,0.918918918918919,,,,,,
negative,0,MLE_theta10,participant,friend_value_probability_effect,111.0,0.1261460291017161,0.0308466165128803,0.6518650439872851,0.6144030908516152,,,,,,,,
negative,0,hierarchical,population,mu_alpha,,,0.134950586705325,,,,1.0,-1.0,0.0,-0.865049413294675,-0.8623044015,-1.115197686575,-0.6336439899525
negative,0,hierarchical,population,mu_kappa,,,-0.1345222911579999,,,,1.0,-1.2,0.0,-1.334522291158,-1.3298980545,-1.546400754225,-1.1484308225500002
negative,0,hierarchical,population,mu_theta,,,0.1957814480957127,,,,1.0,1.0,1.0,1.1957814480957127,1.188011016,0.822898457635,1.62977744365
negative,0,hierarchical,population,tau_alpha,,,-0.2789845801558657,,,,1.0,0.65,1.0,0.3710154198441343,0.3768049776,0.02674038629675,0.7250787839574997
negative,0,hierarchical,population,tau_kappa,,,-0.0616482319653124,,,,1.0,0.65,1.0,0.5883517680346876,0.5848675983,0.4291689228175,0.769745748115
negative,0,hierarchical,population,tau_theta,,,0.1383897302346626,,,,1.0,1.0,1.0,1.1383897302346626,1.1224336359999998,0.8099227407825,1.5476868420999996
negative,0,hierarchical,population,beta_alpha,,,-0.0187513854824448,,,,1.0,0.0,0.420375,-0.0187513854824448,-0.01735034266,-0.20706311716,0.1709971664724998
negative,0,hierarchical,population,beta_kappa,,,0.0431738921797842,,,,1.0,0.0,0.704125,0.0431738921797842,0.043466815935,-0.1161212071175,0.2029355999874999
negative,0,hierarchical,population,beta_theta,,,0.0260683095872078,,,,1.0,-0.35,0.0235,-0.3239316904127921,-0.32252423365,-0.6511736445675,-0.006790428855375
negative,0,hierarchical,population,friend_probability_change_25_to_75,,,0.0400710686550419,,,,1.0,-0.1106687828682808,,-0.0705977142132389,-0.0716468087830936,-0.1564822759950706,0.021888920704096
negative,1,hierarchical,participant,alpha,111.0,0.110637218115454,-0.0007023174582579,0.4313888293814749,0.4159354159354159,,0.8828828828828829,,,,,,
negative,1,MLE_theta10,participant,alpha,111.0,0.2228442601431684,0.0287291053478095,0.3163549785754348,0.3706637074860228,,,,,,,,
negative,1,hierarchical,participant,kappa,111.0,0.1245724097328758,0.0011008469265142,0.741502367565587,0.6831783081783082,,0.945945945945946,,,,,,
negative,1,MLE_theta10,participant,kappa,111.0,0.2310890171583392,0.0791933860915213,0.672260539332378,0.6399087399087399,,,,,,,,
negative,1,hierarchical,participant,theta,111.0,0.5966786442969554,0.0200205113142768,0.664602206356217,0.6909266409266409,0.0,0.945945945945946,,,,,,
negative,1,MLE_theta10,participant,theta,111.0,2.6704102497086795,0.9263178796171712,0.5113265107996512,0.659319759005749,0.081081081081081,,,,,,,
negative,1,hierarchical,participant,friend_value_probability_effect,111.0,0.0840067698505408,0.0040640563375613,0.6672954811826322,0.6705598455598455,,0.918918918918919,,,,,,
negative,1,MLE_theta10,participant,friend_value_probability_effect,111.0,0.1171781681909638,0.0323793567918375,0.6435582946634761,0.6373831781836348,,,,,,,,
negative,1,hierarchical,population,mu_alpha,,,0.01821532171345,,,,1.0,-1.0,0.0,-0.98178467828655,-0.9809443603,-1.2158651532,-0.7558049263250001
negative,1,hierarchical,population,mu_kappa,,,-0.0323437228908876,,,,1.0,-1.2,0.0,-1.2323437228908876,-1.2293537995,-1.406504161475,-1.071468063575
negative,1,hierarchical,population,mu_theta,,,0.0163913827994499,,,,1.0,1.0,1.0,1.01639138279945,1.0085848155,0.67144095193,1.3989127452
negative,1,hierarchical,population,tau_alpha,,,-0.1892045511520313,,,,1.0,0.65,1.0,0.4607954488479687,0.45571968325,0.22474752698,0.7216463424824999
negative,1,hierarchical,population,tau_kappa,,,-0.1877478566343875,,,,0.0,0.65,1.0,0.4622521433656125,0.4595851527,0.3092187898275,0.6339650925425
negative,1,hierarchical,population,tau_theta,,,0.1776170233821001,,,,1.0,1.0,1.0,1.1776170233821002,1.1676024175,0.8130684894525,1.5980569676499992
negative,1,hierarchical,population,beta_alpha,,,0.0396775809362295,,,,1.0,0.0,0.643625,0.0396775809362295,0.039186353285,-0.1574811855174999,0.2446803581699999
negative,1,hierarchical,population,beta_kappa,,,-0.0667065080087819,,,,1.0,0.0,0.18675,-0.0667065080087819,-0.06590601999,-0.221799609475,0.0830491816089999
negative,1,hierarchical,population,beta_theta,,,0.1847217590474665,,,,1.0,-0.35,0.153625,-0.1652782409525334,-0.1667632645,-0.48935737713,0.1423606518149999
negative,1,hierarchical,population,friend_probability_change_25_to_75,,,0.0235167379458741,,,,1.0,-0.1106687828682808,,-0.0871520449224067,-0.0875789942743771,-0.1693137326195747,-0.0012697358019111
negative,2,hierarchical,participant,alpha,111.0,0.1084013152933475,0.0146139012104083,0.5761823435133195,0.5128290628290628,,0.963963963963964,,,,,,
